,label_pol_pred,GBoost_Pred,textblob_polarity,flair_polarity,vader_polarity,bert_polarity,trth
label_pol_pred,1.0,0.8695136687952573,0.3398469424478357,0.7214265419216196,0.4889344204421089,0.776890498405994,0.651509467703113
GBoost_Pred,0.8695136687952573,1.0,0.3427708531029074,0.6953645285027672,0.4522896530132338,0.8001764539726497,0.6641037952393829
textblob_polarity,0.3398469424478357,0.3427708531029074,1.0,0.27200727938162206,0.3945186071643695,0.38116985272397413,0.27921261036106976
flair_polarity,0.7214265419216196,0.6953645285027672,0.27200727938162206,1.0,0.3659080265347334,0.5256653634449648,0.5647059436251163
vader_polarity,0.4889344204421089,0.4522896530132338,0.3945186071643695,0.3659080265347334,1.0,0.47063544962071735,0.37861496098319936
bert_polarity,0.776890498405994,0.8001764539726497,0.38116985272397413,0.5256653634449648,0.47063544962071735,1.0,0.6366642449264241
trth,0.651509467703113,0.6641037952393829,0.27921261036106976,0.5647059436251163,0.37861496098319936,0.6366642449264241,1.0
