,label_pol_pred,GBoost_Pred,textblob_polarity,flair_polarity,vader_polarity,bert_polarity,trth
label_pol_pred,1.0,0.9334644767810817,0.5124291144930898,0.7899559973757251,0.5777938394065727,0.8321012009055458,0.7902346936456188
GBoost_Pred,0.9334644767810817,1.0,0.4959056354501094,0.7552876270341827,0.6100211357868374,0.8546638659453205,0.7710263716045187
textblob_polarity,0.5124291144930898,0.4959056354501094,1.0,0.4498603790466137,0.5425484850057147,0.5116083174404886,0.45596403270835245
flair_polarity,0.7899559973757251,0.7552876270341827,0.4498603790466137,1.0,0.47060065558225944,0.621968507310776,0.6212369476000603
vader_polarity,0.5777938394065727,0.6100211357868374,0.5425484850057147,0.47060065558225944,1.0,0.6281113671245948,0.5290013202663064
bert_polarity,0.8321012009055458,0.8546638659453205,0.5116083174404886,0.621968507310776,0.6281113671245948,1.0,0.7527674150255604
trth,0.7902346936456188,0.7710263716045187,0.45596403270835245,0.6212369476000603,0.5290013202663064,0.7527674150255604,1.0
