,bert_polarity,vader_polarity,textblob_polarity,flair_polarity,Sentiment
bert_polarity,1.0,0.5122746226593942,0.4421172810916128,0.7213078650494379,0.725245211842301
vader_polarity,0.5122746226593942,1.0,0.490159727789124,0.43301329488479817,0.4199391894212349
textblob_polarity,0.4421172810916128,0.490159727789124,1.0,0.36351175461652124,0.37127591535399307
flair_polarity,0.7213078650494379,0.43301329488479817,0.36351175461652124,1.0,0.8582147145203728
Sentiment,0.725245211842301,0.4199391894212349,0.37127591535399307,0.8582147145203728,1.0
