,bert_polarity,vader_polarity,textblob_polarity,flair_polarity,Sentiment
bert_polarity,1.0,0.3817490903305041,0.14358053491256242,0.34186840560538323,0.4325916501810224
vader_polarity,0.3817490903305041,1.0,0.1841418781531074,0.24494047228278137,0.2648606628386163
textblob_polarity,0.14358053491256242,0.1841418781531074,1.0,0.1080507123122982,0.08856638905415647
flair_polarity,0.34186840560538323,0.24494047228278137,0.1080507123122982,1.0,0.34662718178078117
Sentiment,0.4325916501810224,0.2648606628386163,0.08856638905415647,0.34662718178078117,1.0
