,label_pol_pred,GBoost_Pred,textblob_polarity,flair_polarity,vader_polarity,bert_polarity,trth
label_pol_pred,1.0,0.549441153541638,0.0971465967465065,0.7419908465679967,0.41354320802249633,0.4950158222313297,0.4285016317504302
GBoost_Pred,0.549441153541638,1.0,0.13566841417337955,0.474804515996425,0.5069292014713799,0.6781358813616184,0.4224360723391168
textblob_polarity,0.0971465967465065,0.13566841417337955,1.0,0.0829825792246603,0.2469634087390288,0.1734236092618211,0.08418744013951986
flair_polarity,0.7419908465679967,0.474804515996425,0.0829825792246603,1.0,0.23670826836211006,0.3181394654021077,0.32927187624708804
vader_polarity,0.41354320802249633,0.5069292014713799,0.2469634087390288,0.23670826836211006,1.0,0.4093090625452148,0.26375379474021216
bert_polarity,0.4950158222313297,0.6781358813616184,0.1734236092618211,0.3181394654021077,0.4093090625452148,1.0,0.4247719700249396
trth,0.4285016317504302,0.4224360723391168,0.08418744013951986,0.32927187624708804,0.26375379474021216,0.4247719700249396,1.0
