,label_pol_pred,GBoost_Pred,textblob_polarity,flair_polarity,vader_polarity,bert_polarity,trth
label_pol_pred,1.0,0.950408114426984,0.3611968336413939,0.9801980198019812,0.47052970357157786,0.7198373667533945,0.8774259265929966
GBoost_Pred,0.950408114426984,1.0,0.39321359631633274,0.9311917751293866,0.4889110622289857,0.7510672663110844,0.8798219973562913
textblob_polarity,0.3611968336413939,0.39321359631633274,1.0,0.35109226732535415,0.5411148857202043,0.4577063851084453,0.3753230613280345
flair_polarity,0.9801980198019812,0.9311917751293866,0.35109226732535415,1.0,0.4585200362037502,0.7039565880269982,0.8584646601835918
vader_polarity,0.47052970357157786,0.4889110622289857,0.5411148857202043,0.4585200362037502,1.0,0.5546167703208381,0.45185167904639945
bert_polarity,0.7198373667533945,0.7510672663110844,0.4577063851084453,0.7039565880269982,0.5546167703208381,1.0,0.7073009160239807
trth,0.8774259265929966,0.8798219973562913,0.3753230613280345,0.8584646601835918,0.45185167904639945,0.7073009160239807,1.0
