,bert_polarity,vader_polarity,textblob_polarity,flair_polarity,Sentiment
bert_polarity,1.0,0.505948996716857,0.43353325134035536,0.4762470045990812,0.4895179562007585
vader_polarity,0.505948996716857,1.0,0.4697695929560354,0.34892491422827726,0.3743301479121018
textblob_polarity,0.43353325134035536,0.4697695929560354,1.0,0.29988834518991914,0.2480550627220821
flair_polarity,0.4762470045990812,0.34892491422827726,0.29988834518991914,1.0,0.3900499295866856
Sentiment,0.4895179562007585,0.3743301479121018,0.2480550627220821,0.3900499295866856,1.0
