,label_pol_pred,GBoost_Pred,textblob_polarity,flair_polarity,vader_polarity,bert_polarity,trth
label_pol_pred,1.0,0.7923918042138499,0.3673246151139643,0.7293207674527027,0.4447526714298704,0.691399976710076,0.47579352218846355
GBoost_Pred,0.7923918042138499,1.0,0.3011835586473103,0.6356970519379661,0.4328077746319392,0.5711721912893994,0.45020376104955034
textblob_polarity,0.3673246151139643,0.3011835586473103,1.0,0.2968734677313148,0.5145026187323768,0.4488351274268174,0.2950853503811779
flair_polarity,0.7293207674527027,0.6356970519379661,0.2968734677313148,1.0,0.3732633006739816,0.4078550910686118,0.378785176037426
vader_polarity,0.4447526714298704,0.4328077746319392,0.5145026187323768,0.3732633006739816,1.0,0.4971229445316805,0.40788951257934913
bert_polarity,0.691399976710076,0.5711721912893994,0.4488351274268174,0.4078550910686118,0.4971229445316805,1.0,0.43780388717921565
trth,0.47579352218846355,0.45020376104955034,0.2950853503811779,0.378785176037426,0.40788951257934913,0.43780388717921565,1.0
